Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA
01/11/2020,Man United,Arsenal,0,1,A,0,0,D,M Dean,8,7,2,2,12,12,6,3,3,3,0,0,2.0,3.6,3.6,2.0,3.7,3.6,2.05,3.45,3.55,2.05,3.78,3.73,2.05,3.6,3.6,2.05,3.6,3.5
01/11/2020,Tottenham,Brighton,2,1,H,1,0,H,G Scott,9,6,3,2,14,13,4,5,2,1,0,0,1.61,4.0,5.5,1.62,4.25,5.0,1.65,3.9,5.0,1.65,4.26,5.54,1.63,4.0,5.25,1.62,4.2,5.25
02/11/2020,Fulham,West Brom,2,0,H,2,0,H,S Hooper,13,10,6,1,13,11,5,2,3,2,0,0,2.4,3.3,3.0,2.4,3.3,3.0,2.45,3.1,3.0,2.47,3.4,3.13,2.4,3.3,3.0,2.45,3.25,3.0
02/11/2020,Leeds,Leicester,1,4,A,0,2,A,A Marriner,11,10,4,8,9,5,10,3,1,1,0,0,2.5,3.6,2.62,2.6,3.6,2.6,2.55,3.3,2.7,2.59,3.65,2.79,2.55,3.5,2.7,2.63,3.5,2.63
06/11/2020,Brighton,Burnley,0,0,D,0,0,D,M Dean,19,4,3,1,11,5,5,3,1,0,0,0,1.85,3.5,4.33,1.9,3.5,4.25,1.9,3.5,4.3,1.93,3.51,4.63,1.88,3.4,4.4,1.83,3.5,4.6
06/11/2020,Southampton,Newcastle,2,0,H,1,0,H,P Bankes,15,4,8,2,12,11,8,3,1,2,0,0,2.0,3.6,3.7,2.0,3.5,3.75,2.05,3.6,3.5,2.08,3.62,3.8,2.0,3.6,3.7,2.0,3.6,3.7
07/11/2020,Everton,Man United,1,3,A,1,2,A,P Tierney,7,13,1,5,12,19,5,2,4,2,0,0,2.9,3.5,2.37,2.85,3.5,2.4,2.9,3.3,2.4,2.98,3.65,2.44,2.9,3.5,2.4,2.9,3.5,2.38
07/11/2020,Crystal Palace,Leeds,4,1,H,3,1,H,C Kavanagh,10,9,6,3,9,1,3,6,0,2,0,0,2.87,3.4,2.45,2.9,3.4,2.45,2.9,3.15,2.5,2.99,3.48,2.52,2.9,3.3,2.5,3.0,3.3,2.45
07/11/2020,Chelsea,Sheffield United,4,1,H,2,1,H,J Moss,20,6,9,3,5,14,6,7,0,2,0,0,1.36,5.0,8.5,1.4,4.75,7.75,1.4,4.9,8.25,1.41,5.06,8.48,1.38,4.75,8.5,1.36,4.8,9.0
07/11/2020,West Ham,Fulham,1,0,H,0,0,D,R Jones,16,13,7,3,10,9,9,5,2,2,0,0,1.83,3.75,4.2,1.85,3.75,4.1,1.83,3.55,4.3,1.85,3.98,4.34,1.8,3.75,4.33,1.8,3.7,4.5
08/11/2020,West Brom,Tottenham,0,1,A,0,0,D,A Madley,12,19,2,5,17,12,9,6,1,0,0,0,7.0,4.33,1.45,6.0,4.2,1.55,6.25,4.3,1.53,6.58,4.45,1.54,6.5,4.33,1.5,7.0,4.4,1.5
08/11/2020,Leicester,Wolves,1,0,H,1,0,H,A Taylor,10,7,3,2,12,8,6,3,2,3,0,0,2.3,3.2,3.25,2.25,3.2,3.4,2.4,2.9,3.25,2.47,3.17,3.35,2.38,3.2,3.2,2.38,3.13,3.25
08/11/2020,Man City,Liverpool,1,1,D,1,1,D,C Pawson,7,10,2,3,19,11,1,2,3,1,0,0,1.95,4.2,3.4,1.95,4.0,3.5,2.0,3.8,3.4,2.0,4.2,3.56,2.0,3.9,3.4,2.0,3.9,3.4
08/11/2020,Arsenal,Aston Villa,0,3,A,0,1,A,M Atkinson,13,15,2,6,11,13,3,8,0,0,0,0,1.65,4.1,5.0,1.7,4.0,4.75,1.73,3.75,4.7,1.7,4.11,5.27,1.7,3.8,5.0,1.67,4.0,5.0
21/11/2020,Newcastle,Chelsea,0,2,A,0,1,A,C Pawson,8,14,1,3,11,12,7,4,2,0,0,0,6.5,4.75,1.45,6.0,4.6,1.5,5.75,4.6,1.5,6.74,4.61,1.52,6.5,4.33,1.5,7.0,4.5,1.45
21/11/2020,Aston Villa,Brighton,1,2,A,0,1,A,M Oliver,15,7,4,3,5,18,12,3,2,1,0,1,2.15,3.6,3.2,2.15,3.6,3.25,2.2,3.6,3.05,2.24,3.69,3.28,2.2,3.6,3.2,2.15,3.5,3.3
21/11/2020,Tottenham,Man City,2,0,H,1,0,H,M Dean,4,22,2,5,13,19,0,10,2,2,0,0,4.0,4.0,1.8,4.1,3.8,1.83,3.95,4.0,1.8,4.24,4.21,1.82,4.2,3.9,1.8,4.2,3.9,1.8
21/11/2020,Man United,West Brom,1,0,H,0,0,D,D Coote,17,7,7,2,12,17,8,2,1,1,0,0,1.3,5.5,9.5,1.3,5.5,9.75,1.35,5.5,7.5,1.34,5.5,10.03,1.32,5.25,9.5,1.33,5.0,10.0
22/11/2020,Fulham,Everton,2,3,A,1,3,A,A Madley,14,9,6,7,14,10,2,5,2,0,0,0,3.9,3.9,1.85,4.0,3.8,1.85,3.7,3.75,1.9,4.06,3.86,1.93,4.0,3.7,1.88,4.1,3.7,1.87
22/11/2020,Sheffield United,West Ham,0,1,A,0,0,D,M Atkinson,9,15,5,3,7,6,2,6,0,0,0,0,3.0,3.25,2.4,3.0,3.3,2.4,3.05,3.0,2.45,3.2,3.3,2.48,3.0,3.3,2.4,3.0,3.2,2.45
22/11/2020,Leeds,Arsenal,0,0,D,0,0,D,A Taylor,25,9,4,2,9,8,5,3,3,0,0,1,3.0,3.75,2.2,3.1,3.75,2.15,3.05,3.65,2.2,3.18,3.84,2.25,3.2,3.6,2.2,3.13,3.6,2.2
22/11/2020,Liverpool,Leicester,3,0,H,2,0,H,C Kavanagh,24,11,13,4,15,6,10,3,0,2,0,0,1.85,4.0,3.8,1.91,3.8,3.75,1.9,3.8,3.75,1.88,4.08,3.84,1.88,3.8,3.9,1.9,3.8,3.9
23/11/2020,Burnley,Crystal Palace,1,0,H,1,0,H,K Friend,10,15,4,5,13,9,4,7,2,0,0,0,2.75,3.1,2.75,2.75,3.1,2.75,2.8,2.8,2.8,2.89,3.06,2.89,2.7,3.1,2.8,2.75,3.1,2.75
23/11/2020,Wolves,Southampton,1,1,D,0,0,D,A Marriner,20,7,9,2,14,13,7,4,2,0,0,0,2.3,3.25,3.25,2.3,3.25,3.2,2.3,3.0,3.25,2.34,3.34,3.41,2.35,3.2,3.25,2.38,3.2,3.2
27/11/2020,Crystal Palace,Newcastle,0,2,A,0,0,D,G Scott,12,14,3,7,9,10,7,3,2,2,0,0,2.05,3.25,3.75,2.15,3.2,3.7,2.15,3.2,3.55,2.18,3.3,3.84,2.15,3.1,3.75,2.15,3.13,3.8
28/11/2020,Brighton,Liverpool,1,1,D,0,0,D,S Attwell,11,6,3,2,9,13,4,3,2,1,0,0,5.5,4.2,1.57,5.5,4.0,1.62,4.9,4.1,1.63,5.42,4.25,1.65,5.5,4.0,1.62,5.5,4.33,1.57
28/11/2020,Man City,Burnley,5,0,H,3,0,H,L Mason,19,9,6,1,12,4,6,4,0,0,0,0,1.16,7.5,16.0,1.18,7.5,15.0,1.17,7.5,14.0,1.18,8.3,14.98,1.17,7.5,17.0,1.14,8.0,19.0
28/11/2020,Everton,Leeds,0,1,A,0,0,D,C Kavanagh,15,23,8,7,8,14,4,2,1,2,0,0,1.95,3.8,3.6,1.95,3.7,3.7,2.0,3.75,3.4,2.07,3.76,3.64,2.05,3.6,3.5,2.0,3.7,3.6
28/11/2020,West Brom,Sheffield United,1,0,H,1,0,H,M Dean,17,21,6,5,10,9,14,9,2,3,0,0,2.6,3.2,2.8,2.55,3.1,2.95,2.55,3.2,2.8,2.66,3.22,2.99,2.6,3.2,2.8,2.6,3.13,2.9
29/11/2020,Southampton,Man United,2,3,A,2,0,H,J Moss,10,15,5,6,12,12,5,9,1,0,0,0,4.0,3.5,1.95,3.8,3.6,1.95,3.65,3.5,2.0,3.94,3.66,2.02,3.9,3.4,2.0,3.75,3.5,2.0
29/11/2020,Chelsea,Tottenham,0,0,D,0,0,D,P Tierney,13,5,3,1,20,9,3,3,4,2,0,0,2.05,3.5,3.6,2.1,3.5,3.5,2.1,3.5,3.35,2.14,3.51,3.69,2.1,3.5,3.5,2.05,3.6,3.5
29/11/2020,Arsenal,Wolves,1,2,A,1,2,A,M Oliver,13,11,2,5,13,13,8,4,3,4,0,0,2.05,3.4,3.75,2.05,3.4,3.8,2.1,3.25,3.6,2.18,3.33,3.81,2.1,3.25,3.7,2.15,3.13,3.75
30/11/2020,Leicester,Fulham,1,2,A,0,2,A,S Hooper,16,10,3,5,9,21,6,5,0,2,0,0,1.5,4.33,6.5,1.53,4.1,6.5,1.53,4.3,6.0,1.54,4.53,6.44,1.52,4.2,6.5,1.5,4.33,6.5
30/11/2020,West Ham,Aston Villa,2,1,H,1,1,D,P Bankes,6,16,2,6,20,7,3,7,1,1,0,0,2.25,3.6,3.0,2.25,3.5,3.1,2.3,3.5,2.95,2.36,3.64,3.09,2.3,3.5,3.0,2.3,3.5,3.0
05/12/2020,Burnley,Everton,1,1,D,1,1,D,A Taylor,8,13,3,6,6,9,8,4,0,0,0,0,4.0,3.5,1.9,4.1,3.5,1.91,4.1,3.4,1.95,4.14,3.58,1.99,4.0,3.5,1.95,4.1,3.5,1.93
05/12/2020,Man City,Fulham,2,0,H,2,0,H,J Moss,16,6,6,1,7,6,9,3,0,0,0,0,1.1,11.0,19.0,1.11,10.0,21.0,1.12,9.0,18.0,1.13,10.23,23.63,1.11,9.0,23.0,1.1,10.0,26.0
05/12/2020,West Ham,Man United,1,3,A,1,0,H,A Marriner,19,15,6,6,9,10,5,4,0,0,0,0,3.6,3.6,2.0,3.6,3.5,2.05,3.7,3.45,2.0,3.75,3.69,2.06,3.6,3.4,2.1,3.6,3.6,2.0
